name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,name_encoded,sex_C,sex_F,sex_G,sex_R
Aussie Pride,2,86,80,71,8,49908,150000.0,9,50754,57,50107,9,0,0.0,0.0,1.0,0.0
Mendelssohn,9,101,73,73,11,49909,30000.0,7,50755,56,71786,0,1,1.0,0.0,0.0,0.0
Brother in Arms,1,79,90,91,8,49910,250000.0,11,50756,57,50091,9,2,0.0,0.0,1.0,0.0
Gun It,0,97,150,150,10,49911,300000.0,11,5,79,49912,0,3,1.0,0.0,0.0,0.0
Declarationofpeace,0,85,127,118,11,49910,150000.0,8,50757,67,71787,0,4,1.0,0.0,0.0,0.0
Miss Besilu,0,83,82,0,15,49912,100000.0,6,50758,65,49999,0,5,0.0,1.0,0.0,0.0
Tatweej,2,103,83,74,10,49911,300000.0,11,50759,55,49914,9,6,1.0,0.0,0.0,0.0
Lidstrom,2,76,93,83,8,49911,300000.0,13,50760,58,50145,2,7,0.0,0.0,1.0,0.0
Metro,0,58,77,67,5,49913,200000.0,10,50761,56,50165,0,8,1.0,0.0,0.0,0.0
Conquistador,2,83,53,60,11,49914,20000.0,13,50762,49,49920,0,9,0.0,0.0,1.0,0.0
Sierra Leone,9,112,148,124,5,49915,70000.0,3,50763,72,49926,9,10,1.0,0.0,0.0,0.0
Mohaymen,8,96,150,146,13,49911,125000.0,8,50764,81,50026,0,11,1.0,0.0,0.0,0.0
Air Vice Marshal,0,95,65,65,13,49910,60000.0,6,50765,50,49933,2,12,1.0,0.0,0.0,0.0
I'll Take Charge,2,82,128,0,14,49916,70000.0,13,50766,72,71788,9,13,0.0,1.0,0.0,0.0
Alexander Valley,1,74,150,124,8,49912,150000.0,13,50767,75,49923,9,14,0.0,0.0,1.0,0.0
Beatbox,7,96,109,127,8,49917,110000.0,8,50768,71,49920,2,15,1.0,0.0,0.0,0.0
Tapit High,0,73,62,57,12,49911,125000.0,9,50769,46,50027,0,16,0.0,0.0,1.0,0.0
Lumino,2,60,67,58,9,49912,150000.0,12,50770,52,50264,0,17,1.0,0.0,0.0,0.0
Muth,9,98,62,22,5,156,20000.0,2,50771,58,49922,2,18,1.0,0.0,0.0,0.0
Marconi,8,96,68,68,11,49911,150000.0,10,50772,47,71789,0,19,1.0,0.0,0.0,0.0
Capensis,7,91,137,126,7,49911,300000.0,14,50767,69,49923,9,20,1.0,0.0,0.0,0.0
Chestertown,0,90,101,113,9,49911,20000.0,12,50773,62,50020,9,21,1.0,0.0,0.0,0.0
Awe Emma,2,88,134,104,11,49910,150000.0,8,50774,68,71790,9,22,0.0,1.0,0.0,0.0
Sedona,2,81,82,91,5,49908,175000.0,12,38957,57,49931,0,23,0.0,1.0,0.0,0.0
Inheritance,2,78,58,75,13,49911,20000.0,8,50775,46,71791,0,24,0.0,1.0,0.0,0.0
Vintage Print,2,95,82,73,9,49908,100000.0,8,50776,58,49935,9,25,1.0,0.0,0.0,0.0
Nafisa,1,72,85,77,5,49913,200000.0,10,50777,59,50249,0,26,0.0,1.0,0.0,0.0
Pacific,0,56,60,0,15,49918,20000.0,14,50778,57,49980,8,27,1.0,0.0,0.0,0.0
Thielen,0,57,110,108,5,49908,175000.0,12,50779,66,49924,9,28,1.0,0.0,0.0,0.0
Cyrus Alexander,7,98,68,0,14,49912,100000.0,7,50780,54,49931,2,29,1.0,0.0,0.0,0.0
Coach Prime,0,84,56,48,5,49913,200000.0,10,50781,45,49938,2,30,1.0,0.0,0.0,0.0
Gun Party,2,83,94,85,5,49908,175000.0,12,1804,62,49926,9,31,1.0,0.0,0.0,0.0
Diamondsandpearls,2,79,47,47,11,49919,20000.0,8,50782,47,50026,0,32,0.0,1.0,0.0,0.0
Prosper,1,74,30,33,6,491,35000.0,1,50783,42,49911,0,33,1.0,0.0,0.0,0.0
Formula One,0,70,54,71,12,49918,20000.0,17,50784,54,49923,0,34,1.0,0.0,0.0,0.0
Heyaarat,2,93,119,0,15,49920,100000.0,12,50785,66,49932,9,35,1.0,0.0,0.0,0.0
Carpe Diem,9,98,100,0,14,49921,20000.0,11,50786,65,49923,0,36,1.0,0.0,0.0,0.0
Crown Queen,9,92,93,0,15,49918,75000.0,14,50787,68,49931,7,37,0.0,1.0,0.0,0.0
Balon Rose,2,83,107,93,10,49910,150000.0,9,50788,63,49963,7,38,0.0,1.0,0.0,0.0
Sgt. Pepper,2,82,73,73,6,49922,125000.0,8,2162,55,49924,9,39,1.0,0.0,0.0,0.0
I'm Amazing,1,81,82,0,13,49923,85000.0,16,50789,65,71792,0,40,1.0,0.0,0.0,0.0
Weyhill Road,2,81,107,102,6,49913,150000.0,9,50790,67,49926,0,41,1.0,0.0,0.0,0.0
Farraj,2,79,87,93,14,49911,20000.0,7,50791,60,50027,2,42,1.0,0.0,0.0,0.0
Sahlabiya,0,78,65,65,7,49912,250000.0,14,6299,50,49911,1,43,0.0,1.0,0.0,0.0
Wait No More,2,80,62,0,15,49912,100000.0,6,50792,58,71790,9,44,0.0,1.0,0.0,0.0
Iron Fist,0,103,116,116,14,49911,80000.0,7,50793,68,50303,0,45,1.0,0.0,0.0,0.0
Gala Award,7,91,78,0,15,49924,60000.0,4,50794,64,71793,1,46,1.0,0.0,0.0,0.0
Nuclear,1,76,62,69,6,1100,150000.0,1,50761,58,50165,0,47,1.0,0.0,0.0,0.0
Senor Jobim,2,88,114,109,12,49920,100000.0,15,50795,65,49923,0,48,0.0,0.0,1.0,0.0
First Captain,0,100,77,80,8,49908,150000.0,9,38957,56,49931,0,49,1.0,0.0,0.0,0.0
Gioia Stella,2,89,78,0,13,49912,100000.0,8,50796,58,50241,2,50,0.0,1.0,0.0,0.0
Conquer the World,2,85,92,82,8,49908,150000.0,9,50797,62,49909,9,51,1.0,0.0,0.0,0.0
Stop the Press,1,79,80,81,5,49922,125000.0,9,50798,58,49911,0,52,1.0,0.0,0.0,0.0
Islander,2,77,89,89,5,49915,70000.0,3,50799,59,49911,2,53,0.0,1.0,0.0,0.0
Czarina,1,59,94,82,12,49924,150000.0,7,50800,67,71794,0,54,0.0,1.0,0.0,0.0
Golden Whim,0,43,67,58,8,49912,150000.0,13,50801,51,49920,0,55,1.0,0.0,0.0,0.0
Hall of Fame,2,94,62,50,5,49915,70000.0,3,50802,46,49921,0,56,1.0,0.0,0.0,0.0
Kittansett,2,94,54,59,9,3229,100000.0,1,50803,54,49980,0,57,1.0,0.0,0.0,0.0
Matera,0,92,119,118,9,49911,300000.0,12,50804,66,71795,7,58,0.0,1.0,0.0,0.0
Tap Gun,2,82,150,150,11,49911,150000.0,10,50805,85,49921,8,59,0.0,1.0,0.0,0.0
Itzos,2,81,62,69,6,688,25000.0,1,50806,58,71796,0,60,1.0,0.0,0.0,0.0
Zero Hour,2,79,50,0,13,49924,20000.0,6,50807,49,71797,0,61,1.0,0.0,0.0,0.0
Hoodooland,2,76,65,65,7,49912,250000.0,14,50808,50,50026,0,62,0.0,1.0,0.0,0.0
Believe Now,1,75,60,72,9,49922,75000.0,5,50809,46,49934,1,63,1.0,0.0,0.0,0.0
