name,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,name_encoded,sex_C,sex_F,sex_G,sex_R
Aussie Pride,86,80,71,7,49908,150000.0,9,50754,57,50107,1.0,0,0.0,0.0,1.0,0.0
Mendelssohn,101,73,73,10,49909,30000.0,7,50755,56,71786,10.0,1,1.0,0.0,0.0,0.0
Brother in Arms,79,90,91,7,49910,250000.0,11,50756,57,50091,1.0,2,0.0,0.0,1.0,0.0
Gun It,97,150,150,9,49911,300000.0,11,5,79,49912,24.0,3,1.0,0.0,0.0,0.0
Declarationofpeace,85,127,118,10,49910,150000.0,8,50757,67,71787,16.0,4,1.0,0.0,0.0,0.0
Miss Besilu,83,82,0,14,49912,100000.0,6,50758,65,49999,12.0,5,0.0,1.0,0.0,0.0
Tatweej,103,83,74,9,49911,300000.0,11,50759,55,49914,1.0,6,1.0,0.0,0.0,0.0
Lidstrom,76,93,83,7,49911,300000.0,13,50760,58,50145,23.0,7,0.0,0.0,1.0,0.0
Metro,58,77,67,4,49913,200000.0,10,50761,56,50165,26.0,8,1.0,0.0,0.0,0.0
Conquistador,83,53,60,10,49914,20000.0,13,50762,49,49920,21.0,9,0.0,0.0,1.0,0.0
Sierra Leone,112,148,124,4,49915,70000.0,3,50763,72,49926,1.0,10,1.0,0.0,0.0,0.0
Mohaymen,96,150,146,12,49911,125000.0,8,50764,81,50026,4.0,11,1.0,0.0,0.0,0.0
Air Vice Marshal,95,65,65,12,49910,60000.0,6,50765,50,49933,23.0,12,1.0,0.0,0.0,0.0
I'll Take Charge,82,128,0,13,49916,70000.0,13,50766,72,71788,1.0,13,0.0,1.0,0.0,0.0
Alexander Valley,74,150,124,7,49912,150000.0,13,50767,75,49923,1.0,14,0.0,0.0,1.0,0.0
Beatbox,96,109,127,7,49917,110000.0,8,50768,71,49920,23.0,15,1.0,0.0,0.0,0.0
Tapit High,73,62,57,11,49911,125000.0,9,50769,46,50027,21.0,16,0.0,0.0,1.0,0.0
Lumino,60,67,58,8,49912,150000.0,12,50770,52,50264,13.0,17,1.0,0.0,0.0,0.0
Muth,98,62,22,4,156,20000.0,2,50771,58,49922,23.0,18,1.0,0.0,0.0,0.0
Marconi,96,68,68,10,49911,150000.0,10,50772,47,71789,10.0,19,1.0,0.0,0.0,0.0
Capensis,91,137,126,6,49911,300000.0,14,50767,69,49923,1.0,20,1.0,0.0,0.0,0.0
Chestertown,90,101,113,8,49911,20000.0,12,50773,62,50020,1.0,21,1.0,0.0,0.0,0.0
Awe Emma,88,134,104,10,49910,150000.0,8,50774,68,71790,1.0,22,0.0,1.0,0.0,0.0
Sedona,81,82,91,4,49908,175000.0,12,38957,57,49931,7.0,23,0.0,1.0,0.0,0.0
Inheritance,78,58,75,12,49911,20000.0,8,50775,46,71791,22.0,24,0.0,1.0,0.0,0.0
Vintage Print,95,82,73,8,49908,100000.0,8,50776,58,49935,1.0,25,1.0,0.0,0.0,0.0
Nafisa,72,85,77,4,49913,200000.0,10,50777,59,50249,27.0,26,0.0,1.0,0.0,0.0
Pacific,56,60,0,14,49918,20000.0,14,50778,57,49980,3.0,27,1.0,0.0,0.0,0.0
Thielen,57,110,108,4,49908,175000.0,12,50779,66,49924,1.0,28,1.0,0.0,0.0,0.0
Cyrus Alexander,98,68,0,13,49912,100000.0,7,50780,54,49931,23.0,29,1.0,0.0,0.0,0.0
Coach Prime,84,56,48,4,49913,200000.0,10,50781,45,49938,23.0,30,1.0,0.0,0.0,0.0
Gun Party,83,94,85,4,49908,175000.0,12,1804,62,49926,1.0,31,1.0,0.0,0.0,0.0
Diamondsandpearls,79,47,47,10,49919,20000.0,8,50782,47,50026,22.0,32,0.0,1.0,0.0,0.0
Prosper,74,30,33,5,491,35000.0,1,50783,42,49911,27.0,33,1.0,0.0,0.0,0.0
Formula One,70,54,71,11,49918,20000.0,17,50784,54,49923,25.0,34,1.0,0.0,0.0,0.0
Heyaarat,93,119,0,14,49920,100000.0,12,50785,66,49932,1.0,35,1.0,0.0,0.0,0.0
Carpe Diem,98,100,0,13,49921,20000.0,11,50786,65,49923,12.0,36,1.0,0.0,0.0,0.0
Crown Queen,92,93,0,14,49918,75000.0,14,50787,68,49931,6.0,37,0.0,1.0,0.0,0.0
Balon Rose,83,107,93,9,49910,150000.0,9,50788,63,49963,6.0,38,0.0,1.0,0.0,0.0
Sgt. Pepper,82,73,73,5,49922,125000.0,8,2162,55,49924,1.0,39,1.0,0.0,0.0,0.0
I'm Amazing,81,82,0,12,49923,85000.0,16,50789,65,71792,22.0,40,1.0,0.0,0.0,0.0
Weyhill Road,81,107,102,5,49913,150000.0,9,50790,67,49926,22.0,41,1.0,0.0,0.0,0.0
Farraj,79,87,93,13,49911,20000.0,7,50791,60,50027,23.0,42,1.0,0.0,0.0,0.0
Sahlabiya,78,65,65,6,49912,250000.0,14,6299,50,49911,14.0,43,0.0,1.0,0.0,0.0
Wait No More,80,62,0,14,49912,100000.0,6,50792,58,71790,1.0,44,0.0,1.0,0.0,0.0
Iron Fist,103,116,116,13,49911,80000.0,7,50793,68,50303,8.0,45,1.0,0.0,0.0,0.0
Gala Award,91,78,0,14,49924,60000.0,4,50794,64,71793,14.0,46,1.0,0.0,0.0,0.0
Nuclear,76,62,69,5,1100,150000.0,1,50761,58,50165,26.0,47,1.0,0.0,0.0,0.0
Senor Jobim,88,114,109,11,49920,100000.0,15,50795,65,49923,4.0,48,0.0,0.0,1.0,0.0
First Captain,100,77,80,7,49908,150000.0,9,38957,56,49931,7.0,49,1.0,0.0,0.0,0.0
Gioia Stella,89,78,0,12,49912,100000.0,8,50796,58,50241,23.0,50,0.0,1.0,0.0,0.0
Conquer the World,85,92,82,7,49908,150000.0,9,50797,62,49909,1.0,51,1.0,0.0,0.0,0.0
Stop the Press,79,80,81,4,49922,125000.0,9,50798,58,49911,22.0,52,1.0,0.0,0.0,0.0
Islander,77,89,89,4,49915,70000.0,3,50799,59,49911,23.0,53,0.0,1.0,0.0,0.0
Czarina,59,94,82,11,49924,150000.0,7,50800,67,71794,10.0,54,0.0,1.0,0.0,0.0
Golden Whim,43,67,58,7,49912,150000.0,13,50801,51,49920,22.0,55,1.0,0.0,0.0,0.0
Hall of Fame,94,62,50,4,49915,70000.0,3,50802,46,49921,22.0,56,1.0,0.0,0.0,0.0
Kittansett,94,54,59,8,3229,100000.0,1,50803,54,49980,4.0,57,1.0,0.0,0.0,0.0
Matera,92,119,118,8,49911,300000.0,12,50804,66,71795,6.0,58,0.0,1.0,0.0,0.0
Tap Gun,82,150,150,10,49911,150000.0,10,50805,85,49921,3.0,59,0.0,1.0,0.0,0.0
Itzos,81,62,69,5,688,25000.0,1,50806,58,71796,12.0,60,1.0,0.0,0.0,0.0
Zero Hour,79,50,0,12,49924,20000.0,6,50807,49,71797,12.0,61,1.0,0.0,0.0,0.0
Hoodooland,76,65,65,6,49912,250000.0,14,50808,50,50026,27.0,62,0.0,1.0,0.0,0.0
Believe Now,75,60,72,8,49922,75000.0,5,50809,46,49934,14.0,63,1.0,0.0,0.0,0.0
Extra Anejo,96,96,83,5,49925,150000.0,11,50810,61,49945,23.0,64,1.0,0.0,0.0,0.0
Tour de Force,92,62,0,12,49914,75000.0,11,50811,54,71798,1.0,65,1.0,0.0,0.0,0.0
Miss Hollywood,87,79,0,13,49926,60000.0,12,50812,60,71799,1.0,66,0.0,1.0,0.0,0.0
Daily Grind,80,82,73,4,49912,200000.0,16,7037,58,49911,6.0,67,1.0,0.0,0.0,0.0
Citational,61,72,70,4,49925,175000.0,12,50813,51,50243,27.0,68,0.0,1.0,0.0,0.0
Tapit Trice,101,70,63,5,49911,225000.0,15,11677,48,50189,13.0,69,1.0,0.0,0.0,0.0
American Admiral,98,32,40,7,3229,100000.0,2,50814,43,49918,21.0,70,1.0,0.0,0.0,0.0
Desert Peace,92,62,55,8,49908,100000.0,8,46779,48,49946,10.0,71,0.0,0.0,1.0,0.0
